بقيت over ورخم جدا بصرااحه😏😏,negative
كالعادة مش خسارة فيك ال dislike و ال report 😇,negative
"في غباء في مصر !!! حقيقي 
يعني حرقتوا اهم لقطة بالمسلسل او الفيلم وتحطوها كاملة بالبرومو ...
دا احنا بنفوت المسلسل او الفيلم لأجل اللقطة دي .. الي بسموها في عالم السينما ... money shot",negative
شركة زفت النت كل خمس دقايق يفصل لو اتنين يستخمو النت التاني مش بيعرف يستخدمه we احلي انا هحول خدمة العملاء زفت يخليهم يجددو الباقة بنعد مستنيين يومين كل لما نتصل بيهم بيقولو ساعتين او اربع سعات انت زفت بقالي,negative
والنبي بس ياا جدعاان النااس اللي حاطه dislike بتفكر ازاي ساعات بحس انهم نااس براس كلب😒😒🙄,negative
والله القناه الوحيده اللي بيسيب الاعلان شغال ومش بعملو skip,negative
726 عاملين dislike دول موش بيفهمو,negative
"خالد الصاوي أداؤه أوفر
أداء fake",negative
نفسى اهم اى باقف عامل dislike على الفيديو على اساس ايه..,negative
يوسف الشريف كل اعماله بتعتمد على ال plot twist و معندوش جديد,negative
بسمه وهبه بتشتغل ع الفضايح بس عشان ال views ، مذيعه خرا 🤮🤮,negative
واخد مقدمة موسيقى اغنية Sean Paul اثبتلي ان الوساخة ليها ناسها... ربنا عمال يضلك بعد ظلم الطيار,negative
"نفسي اعرف اللي عامل dislike دا ايه
يهودي ولا ايه 😆😅🤣",negative
اللي بيعمل dislike ده متخلف تقريبااا,negative
شو هالكلمات مالهم طعم 😒ملك شو فديو كليب أسلوبو كثيير قديييييم dislike,negative
"واحد من على تويتر محمد رمضان مر من هنا
🚗 عشان يعمل Dislike للفيديو اول ماينزل ☝",negative
ستينج هذا مصارع في wwe,neutral
"🔴Stop❌ saying Im sorry 😥😅 replace it with 25 ways 🔥🤩↗️💐
اني آسف 😂😂",neutral
شموع LED عديمة اللهب مع جهاز تحكم عن بُعد من 3 قطع بنفسجي/برتقالي,neutral
"مطلوب 5 بنات متفرغة وجادة للعمل team manager لبراند سويدي أونلاين بتقبضي من خلال بنك cib 
بشرط الإلتزام للتفاصيل خاص 🌸 ❤️ 
* سيدات وبنات فقط *
كلميني واتس علي 01066501991",neutral
متى راح ينزل على youtube,neutral
لقاء rap or die واحمد كامل,neutral
طب الverified page  الي في الfacebook حقيقية ولا fake,neutral
تقليد ل اغنية bum tam tam,neutral
أيه رأيك في wildlife ؟,neutral
ممكن تشترك في قناتي علشان عايز اكبره yaya games and movies,neutral
كل البنات اللي مهتمي الموضة انا بنزل اشيء بتجانن عن الفاشن دي صفحتي ع لانستجرام aseel Omar 67,neutral
حسيت بل فيديو عم يقلد بيكي بلانديز PEAKY BLINDERS,neutral
مش عارف ليه وحضرتك بتتكلم عن ملخص الفيلم حسيت انه نحتاية من فيلم lord of war بطولة نيكولاس كيدج .. الجريمة والحياة المذدوجة والشرطي الشريف الي بيتعقب بطل الفيلم والنهاية الغير متوقعة ... صح كده ولا انا خيالي راح لبعيد,neutral
حلمي يكون عندي مليون مشترك على قناة chaine md فضلا وليس امرا اشتركوا بالقناة,neutral
ثوانى حد لاحظ ان جكت سريه مكتوب عليه Plak pank  كم شخص لاحظ 🤔,neutral
يوم الاربعاء الموافق 16/4/2021 صيف زمن الكرورنا فى اسوان 2021 اسوان ... hossam abo mazen,neutral
هههههههههه لأول مرة في نفس الفيلم المرغني و the mountain بتاع game of thrones و Tyson  و big ramy، شغل جامد صراحة,positive
يلي جاي من B. I. C لايك 💜💜💜🤤🤤,positive
اغنية tooooooooop,positive
"الاغنية دي like a therapie , حالتي النفسية كانت زفت تجربة حب قاسية و فاشلة و صدفة بسمع 3 دقات ، راح الاكتاب و الحزن و رجعت احب الحب و الحياة ،وياعينيياااياسيدي على الايام لما تهادي قلوبنا غرام فجأة يهون",positive
شاعر ومغني راب اشتركو فقناتي وفعلو زر الجرس لان في مفاجأة هتنزل عالقناة قريبا أغنية راب مع الفنان العالمي تامر حسني♥️♥️  soon 😉💪,positive
Oh boy oh boy oh boy متحمستله  و منتظره ينزل السينما,positive
مين اجا بعد big 💙💙💙,positive
"اخيرا لقيت الحلقة كامله 🧡🧡🧡
بس الجزء الأول مش موجود يا dmc ياريت تعيدوا رفعه تانى او تعاد الحلقة عال TV 🙏🙏😎",positive
"اشعار يهز القلب حرفيا بدون 
LOVE YOU SO MUCH yousra 💛🔪",positive
"I really like this song
انا إندونيسيا مرا حب كتر كثير هدا اغني  لوووووووف كتير",positive
حلم طفلتى الجميله انا كنت منتظركى وحشتينى اوووووووووى وحمدلله ع السلامه نورتى Tv ودا فعلا احلى رمضان بنسبه لى انا بحبك جداااا وكنتى وحشانى جدا جدا ❤️💋❤️💋❤️,positive
تحية من المغرب لأم الدنيا مصر والله احلى شعب طيب والاغنية دي روعه وبتستاهل نسبة المشاهدة العالية دي bravo ❤,positive
انا هسمعو عشان  big ramy,positive
"بيومي فؤاد 
Anywhere anytime 
ماهو السر...  غير انو نجم",positive
From algeria كل الحب للأشقاء المصريين,positive
لأن الاغنيه مصريه أصلي من زمان ما سمعنا اغاني مصريه حقيقه..من الكويت good job❤️👏🏼,positive
