O,1906,حصل طومسون على جائزة نوبل عام 1906 م لاكتشافه الإلكترون ، ثم ترك العمل في معمل كافنديش قرب نهاية الحرب العالمية اﻷولى و ترأس كلية ترينيتي في كامبريدج ، وظل هناك حتى توفي 1940 م عن عمر يناهز الرابعة والثمانين .
O,ويخرج,وفجأة يحاصرها بقوة وينزع العمامة واللثام ويخرج من الصرة التي كان يحملها بيسراه قلادة من الماس والجواهر الثمينة ويقدمها لها هدية بمناسبة عيد ميلادها .
O,تفويض,ونص القرار على ان مهمة دارفور يمكن ان تنفذ عبر توسيع تفويض قوات الامم المتحدة في السودان ( انميس ) العاملة حاليا في هذا البلد الافريقي الكبير والبالغ عديدها 12273 عنصرا .
O,اليوم,إن المشاركين في هذا المؤتمر هم المؤثرون الرئيسيون الذين يشكلون الرأي في عالم الأعمال اليوم .
O,عن,وبررت وكالة أنباء الشرق الأوسط الرسمية اتخاذ هذا القرار بقولها إنه يأتي في ضوء ما شهدته الفترة الأخيرة من زيادة غير مسبوقة في أسعار النفط ومضاعفاته التي لم تشهد تحريكا لأسعارها لفترة طويلة جاوزت 15 عاما ، ما زاد بشكل كبير من العبء الذي تتحمله الموازنة العامة للدولة كدعم لمواجهة فرق السعر الحقيقي لتكلفة الإنتاج عن سعر البيع .
O,ودائم,"في السياق طلب الرئيس الفرنسي جاك شيراك من الاتحاد الأوروبي "" تفويض "" الممثل الأعلى للسياسة الخارجية للاتحاد خافيير سولانا في العمل من أجل توفير الظروف للتوصل إلى وقف إطلاق نار شامل ودائم في المنطقة ."
O,.,"وهتف المتظاهرون شعارات تدعو إلي "" تمزيق "" قرار البرلمان الذي سمح قبل 12 يوما بإرسال قوات الي العراق ."
O,في,وأعرب داليما عن أمله في أن تعيد فرنسا النظر في عرضها بتقديم مائتي جندي فقط .
O,صامدا,كما أكد ان الحزب ما يزال صامدا واستوعب الضربة الأولي وانتقل إلي مرحلة المبادرة .
O,واحتمالات,وفي تقريره عن الاستقرار المالي ، أشار البنك الدولي إلى أن التراجع بالنشاط الاقتصادي واحتمالات استعادة الاقتصاد العالمي عافيته بعد تفشي الوباء سيتوقف على خصائص الفيروس الجديد ودرجة استعداد القطاعين العام والخاص لمواجهة الأزمة .
O,«,ايرادات فوق المليون > بلغت ايرادت فيلم « حلم » ثلاثة آلاف درهم ، وفيلم « عقاب » عشرة آلاف درهم ، فكم بلغت ايرادات فيلم « طرب فاشن » حتى الآن ؟ ـ بلغت مليون و250 الف درهم ، حتى الآن .
O,السلطات,معتقل جوانتانامو ، هو سجن سيء السمعة ، بدأت السلطات الأمريكية بإستعماله في سنة 2002 ، و ذلك لسجن من تشتبه في كونهم إرهابيين ، ويعتبر السجن سلطة مطلقة لوجوده خارج الحدود الأمريكية ، في و ذلك في أقصى جنوب شرق كوبا ، و تبعد 90 ميل عن فلوريدا ، ولا ينطبق عليه أي من قوانين حقوق الإنسان .
O,أكثر,واكتشف محفوظ مبكرا أن الزمن القادم هو زمن الرواية وخاض معركة مع الكاتب المصري الراحل عباس محمود العقاد الذي كان متحمسا للشعر وحده مستهينا بالرواية بل رأى أن بيت شعر واحدا أكثر قيمة من أهم الروايات .
O,نحو,ونزل اليورو نحو 30ر0 بالمئة الي 11ر148 ين حول أدني مستوي في اسبوعين .
O,على,وقال جيش الاحتلال في بيان إنه كشف نفقا طوله 150 مترا تحت الأرض بين قطاع غزة ومعبر المنطار القريب من الحي على الحدود مع إسرائيل .
O,الإتفاقية,تم الكشف عن الإتفاق بوصول الشيوعيين إلى سدة الحكم في روسيا ، مما أثار الشعوب التي تمسها الإتفاقية وأحرج فرنسا وبريطانيا .
PERS,ريناتو,"وقال ريناتو سوليدام رئيس المعهد "" مادام ينهار في المقدمة وعلى الجوانب فإنه يشكل خطرا ."
PERS,توم,"وأوضح أن "" إسرائيل تجري تحقيقا حول هذا الحادث المأساوي وسوف تطلع الأمم المتحدة على نتائجه باسرع وقت ممكن "" وهو ما أكده المسؤول في الخارجية الإسرائيلية توم ريغيف ."
PERS,زيان,وشعر الأمير زيان بخطورة القلعة التي أصبحت تهدد سلامة بلاده ، فعزم على استعادة هذا الحصن مهما كان الثمن ، فجهز جيشا كبيرا تصفه بعض المصادر بأنه بلغ أكثر من 40 ألف مقاتل ، وسار نحو تل أنيشة لاسترداده ، وهناك نشبت معركة هائلة لم ينجح المسلمون خلالها في تحقيق النصر على الرغم من شجاعتهم وحسن بلائهم ، ومنوا بخسارة فادحة ، واستشهدت أعداد هائلة من المسلمين .
PERS,نصر,"ونسبت صحيفة "" الشرق الاوسط "" اللندنية إلى جنبلاط قوله في اتصال هاتفي تعليقا على خطابي حسن نصر الله الامين العام لحزب الله والرئيس السوري بشار الاسد إن نصر الله طرح في خطابه شعار بناء "" الدولة القوية والعادلة "" الامر الذي يعني أن دولة الطائف ليست قوية وغير عادلة وهو "" ما يعني أن الدولة المطلوبة هي انقلاب على دولة الطائف "" ."
PERS,فارس,وقال الخبير الاقتصادي أمين فارس إن العدوان على لبنان انعكس سلبا على الاقتصاد الإسرائيلي وأثر بشكل مباشر على سوق الأسهم الذي انخفض منذ أسبوع بشكل كبير ، مشيرا إلى أن هذه الآثار السلبية ستكون على المدى القصير فقط .
